"出展メーカー","タイトル","HP","HPの要約","会社名","ドメイン","ロゴURL"
"ヤマガブランクス","ヤマガブランクス | 釣竿・ロッドメーカーサイトYAMAGA Blanks","https://yamaga-blanks.com","","","yamaga-blanks","https://yamaga-blanks.com/wp/wp-content/themes/yamaga/assets/img/common/header_logo.png"
"リップル","RippleFisherリップルフィッシャー","https://ripplefisher.com/","","","ripplefisher","https://ripplefisher.com/ripple/wp-content/themes/ripple/img/top/hd_logo.png"
"Hyperfishing","Home - Hyperfishingtackle","https://www.hyperfishingtackle.com/","","","hyperfishingtackle",""
"ULTRA LURE FACTORY","Home","https://ultralurefactory.com/","","","ultralurefactory","https://img1.wsimg.com/isteam/ip/32fb4f51-b820-4666-a622-120693dbee54/120cmx50cm.png/:/rs=h:47,cg:true,m/qt=q:95"
"ユニチカ","ユニチカフィッシングライン","https://www.unitika.co.jp/fishing","","","unitika","https://www.unitika.co.jp/fishing/common/images/logo.svg"
"オリムピック","OLYMPIC Co., Ltd.","https://olympic-co-ltd.jp/fishing/","","","olympic-co-ltd","https://olympic-co-ltd.jp/fishing/wp-content/uploads/2023/12/fishing_top_main_sp_2024.jpg"
"沈まないウキ ｂｙ 阿南工房","阿南工房 – 阿南で営むオンラインショップ","https://anankobo.com/","","","anankobo",""
"136-Glass","136 Glass – 釣り･フィッシングにおすすめ偏光サングラス","https://136-glass.com/","","製造元/販売 株式会社シューユウ","136-glass","https://136-glass.com/wp-content/themes/blocksy-child/img/rogo.png"
"KANAMA","Kanama Smart Bait – Electronic Robotic Lure That Replaces Live Bait","https://www.kanama.com/","","","kanama","https://www.kanama.com/cdn/shop/files/LOGO.svg?v=1756966903&width=135"
"Amigo   (Deluxtechnology Inc.)","디럭스테크놀로지","https://deluxtech.co.kr/","","","deluxtech","https://deluxtech.co.kr/theme/deluxtech/images/logo.png"
"剛樹","ホーム | フィッシングロッドメーカー 株式会社 剛樹","https://gouki.co.jp/","","ホーム | フィッシングロッドメーカー 株式会社 剛樹","gouki","https://gouki.co.jp/global-image/header/8-logo.png?b05d798cce141c7e674e5caad5367f9a"
"ヤマシタ／マリア","","https://www.yamaria.co.jp","","","yamaria",""
"ささめ針","釣り｜海釣り仕掛｜渓流仕掛｜釣り針の（株）ささめ針","https://www.sasame.co.jp","","","sasame","https://www.sasame.co.jp/wp-content/themes/thema2021/img/asset/logo-bk.svg"
"SHOUT","SHOUT｜シャウト｜ジギング -SHOUT｜シャウト｜ジギング","https://shout-net.com","","","shout-net","https://shout-net.com/wp-content/themes/shout/img/logo_w.svg"
"RYUGI","TOP｜バス釣りのタックル｜RYUGI（リューギ）","https://ryugi.jp/","","","ryugi",""
"ジャングルジム","ジャングルジム","https://junglegym-world.net/","","","junglegym-world","https://junglegym-world.net/wp-content/themes/junglegym/img/logo.svg"
"XBRAID／Y・G・K","XBRAID | 釣り糸メーカーYGK（株式会社ワイ・ジー・ケー）のブランドサイト","https://xbraidygk.jp/","","XBRAID | 釣り糸メーカーYGK（株式会社ワイ・ジー・ケー）のブランドサイト","xbraidygk","https://xbraidygk.jp/asset/images/common/logo.svg"
"アリゲーター","アリゲーター技研 ALLIGATOR GIKEN Co., Ltd. | マグロやカンパチなどの大物・超大物に特化したフィッシングロッドメーカー。海釣り用の道具を提供しています。","https://alligator.co.jp","","","alligator","https://alligator.co.jp/wp-content/uploads/2025/10/2025-header-logo-base.png"
"Bluestorm","Bluestorm｜高階救命器具株式会社","https://bluestorm.jp/","","Bluestorm｜高階救命器具株式会社","bluestorm","https://bluestorm.jp/assets/img/common/logo.svg"
"ソースプロアウトドア","SourcePro Outdoors Co.,Ltd.  |","https://www.sourcepro.cn/","","","sourcepro","https://www.sourcepro.cn/wp-content/uploads/sites/45/2020/03/logo2.png"
"ゼニス","【フィッシング（釣り具）タックル】ZENITH（ゼニス）：ロッド","https://zenith-dream.jp/","","","zenith-dream","https://zenith-dream.jp/wp/wp-content/uploads/2023/05/44ae1fd6e8f19d14bf95f9919c4fafe9-1.jpg"
"オクマ","【フィッシング（釣り具）タックル】Okuma（オクマ）：リール","https://okuma.zenith-dream.jp/","","","okuma","https://okuma.zenith-dream.jp/wp/wp-content/uploads/2025/03/b294765ef248f8edf7c0d123b303e4d8.jpg"
"ゴメクサス","【公式】ゴメクサス（Gomexus）|ベイトリール |スピニングリール | カスタムリールハンドル |ノブ |スタンド","https://www.gomexus.jp/","","","gomexus","https://gomexus.jp/wp-content/uploads/2025/08/20250827-152307-scaled.png"
"プラスエム","Plus-M Inc. | Fishing is my life. 株式会社プラスエム – 株式会社プラスエムは女性釣り人のため の釣り用品開発と、釣りの楽しさをより多くの人に伝える活動を通じて世の中をより Happy にします!","https://plusm.jp/","","株式会社プラスエムの目的は、多くの人に釣りの楽しさを知ってもらうことです。","plusm","https://plusm.jp/wp/wp-content/uploads/2020/09/plusm-logo_m.png?1772801201"
"櫻井釣漁具株式会社","","https://www.sakura-rod.co.jp/","","","sakura-rod",""
"株式会社ゴーセン","","https://www.gosen-f.jp/","","","gosen-f",""
"山豊テグス","山豊テグス株式会社","http://www.yamatoyo.com","","山豊テグス株式会社","yamatoyo",""
"ミヤエポック","フィッシングトップ｜ミヤエポック","https://www.miyaepoch.jp/","","株式会社ミヤマエ","miyaepoch",""
"株式会社リングスター","リングスター | 工具・釣具・アウトドアに使える日本製マルチボックスの製造販売 株式会社リングスター","https://www.ringstar.co.jp","","リングスター | 工具・釣具・アウトドアに使える日本製マルチボックスの製造販売 株式会社リングスター","ringstar","https://www.ringstar.co.jp/img/logo_w.png"
"ベルモント","株式会社ベルモント | アウトドア・フィッシングギアの製造と販売","https://belmont.co.jp/","","株式会社ベルモント | アウトドア・フィッシングギアの製造と販売","belmont","https://belmont.co.jp/wp/wp-content/uploads/2023/06/belmont_logo.png"
"ティクト・ハヤシ","TICT　-ティクト-","https://tict-net.com/","","","tict-net","https://tict-net.com/images/top_logo.png"
"BASARO","株式会社QUEEN 釣り用ライフジャケット(救命胴衣)を販売するブランドBASARO(バサロ)を運営している会社です。ジェスバサロ公式サイト昨今のアウトドアブームによりウェーディングの需要も高まりJES BASARO(ジェスバサロ)ではウェーダーやヒップウェーダーの販売も行っております。腰巻ライフジャケット(ベルトタイプ)女性や男性問わずご使用頂けます。膨張タイプは手動膨張式(手動)自動膨張式(自動)の販売を行っており桜マーク付(タイプA)きライフジャケットの製造販売も開始予定をしております。ライフジャケットは大人子供問わずご着用頂ける設計になっております。","https://basaro.co.jp/","","株式会社QUEEN 釣り用ライフジャケット(救命胴衣)を販売するブランドBASARO(バサロ)を運営している会社です。ジェスバサロ公式サイト","basaro",""
"VANFOOK","ヴァンフック(VANFOOK) | 兵庫県西脇市の釣針製造販売","https://vanfook.co.jp/","","","vanfook",""
"Wood Splash !","Wood Splash! | ウッドスプラッシュ！","https://woodsplash.jp/","","","woodsplash",""
"BLUEWING","Bluewing Fishing - Big Game Fishing Tackle and Boat Accessories","https://www.bluewingfishing.com/","","","bluewingfishing","https://www.bluewingfishing.com/assets/logo.CGjIpNOy.png"
"Amizesu","Amizesu(アミゼス)","https://amizesu.com/","","","amizesu","https://amizesu.com/cdn/shop/files/6440d90f938b7afa53e4781af2ec5799.png?v=1646067096&width=90"
"DECOY／（株）カツイチ","株式会社カツイチ　釣針・オモリ等の釣具製造・販売メーカー","https://www.katsuichi.co.jp/","","株式会社カツイチ　釣針・オモリ等の釣具製造・販売メーカー","katsuichi","https://www.katsuichi.co.jp/images/mobile/logo_s.png"
"クレイジーオーシャン","クレイジーオーシャン","https://crazy-ocean.com/","","","crazy-ocean","https://crazy-ocean.com/wp-content/themes/co/images/common/h_i_email.png"
"tsurugiya","tsurugiya","https://tsurugiya.info/","","","tsurugiya","https://tsurugiya.info/wp/wp-content/themes/trg-temp/img/logo.svg"
"XESTA","XESTA OFFICIAL SITE ゼスタ オフィシャルサイト - XESTAゼスタ公式ウェブサイト","https://xesta.jp/","","","xesta","https://xesta.jp/wp/wp-content/uploads/2021/05/xestalogo_lightbg_small.png"
"ヒロミ産業株式会社","トップページ - ヒロミ産業株式会社","https://hiromisangyo.co.jp/","","トップページ - ヒロミ産業株式会社","hiromisangyo","https://hiromisangyo.co.jp/hrs/wp-content/themes/hiromi/add/img/logo_hiromi.svg"
"マルキユー","つれるエサづくり一筋、マルキユー株式会社の公式サイトです。","https://www.marukyu.com","","つれるエサづくり一筋、マルキユー株式会社の公式サイトです。","marukyu","https://www.marukyu.com/img/nav/nav0.png"
"TRANSCENDENCE","TRANSCENDENCE｜トランスセンデンス｜パックロッド","https://www.transcendence555.com/","","","transcendence555","https://static.wixstatic.com/media/6ba965_370a39b642b04fcb8389224c2a249a7c~mv2.png/v1/fill/w_165,h_17,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/TRANSCENDENCE.png"
"HAYA CO.,LTD","HAYA – FISHING I ROPE I NET","https://hayaking.com/","","","hayaking","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20404%20143'%3E%3C/svg%3E"
"BUNNYWALK","BUNNY WALK / バニーウォーク 公式サイト","https://bunnywalk.jp/","","","bunnywalk","https://bunnywalk.jp/wp-content/themes/bunnywalk/img/logo_header.svg"
"シービーワン","CB ONE – SALTWATER FISHING PRODUCTS","https://cb-one.co.jp","","","cb-one","https://cb-one.co.jp/wp-content/uploads/2023/06/cbone-logo.webp"
"SLASH","SLASH｜GAME FISHING","https://slash-fishing.jp/","","","slash-fishing","https://slash-fishing.jp/files/img/common/logo.png"
"SQUID MANIA","エギングPRO ショップ　SQUID MANIA","https://www.squid-mania.com/","","","squid-mania",""
"アルファタックル","トップ | alphatackle","https://www.alphatackle.com/","","","alphatackle","https://www.alphatackle.com/wp/wp-content/uploads/2022/10/logo.svg"
"テイルウォーク","TOP | tailwalk","https://www.tailwalk.jp","","","tailwalk","https://www.tailwalk.jp/assets/img/common/20thlogo.png"
"黒鯛工房","黒鯛釣り専用のリール、ロッド、用品の企画製造 | 黒鯛工房","https://www.kurodaikobo.com/","","","kurodaikobo","https://www.kurodaikobo.com/themes/kurodaikobo2017/common/kurodaikobo_mark.jpg"
"株式会社リングス","Rings – トータルルアーフィッシングブランド","https://rings-fishing.jp","","","rings-fishing","https://rings-fishing.jp/wp-content/uploads/2021/07/logo_rings.png"
"トランクカーゴ","キャンプ・アウトドア収納ボックスブランド｜トランクカーゴ 【TRUNKCARGO】","https://www.trunkcargo.jp/","","","trunkcargo","https://www.trunkcargo.jp/wp/wp-content/themes/trunkcargo/img/common/logo-white.svg"
"アクアウェーブ/ビバ","Vivanet","https://vivanet.co.jp/","","","vivanet","https://vivanet.co.jp/wordpress/wp-content/themes/vivanet/common/img/logo_vivanet.png"
"堺孝行","堺孝行の製造・販売は青木刃物製作所｜SAKAI TAKAYUKI JAPAN","https://aoki-hamono.co.jp/","","","aoki-hamono","https://aoki-hamono.co.jp/img/top/main1.jpg"
"津本式","津本式[究極の血抜き]で熟成魚を仕立てる","https://tsumotoshiki.com/","","株式会社水流","tsumotoshiki","https://tsumotoshiki.com/wp-content/themes/tsumotoshiki/images/logo.webp"
"かなざわカタニ【カタニ産業】","釣具関係｜スタンピングフォイルの専門商社-カタニ産業株式会社","https://www.katani.co.jp/fishing","","釣具関係｜スタンピングフォイルの専門商社-カタニ産業株式会社","katani","https://www.katani.co.jp/wp-content/themes/katani/common/images/logo_katani_coltd.svg"
"フィッシュマン","Fishman（フィッシュマン） - シーバス・トラウト釣りならベイトロッド専門メーカー","https://www.fish-man.com/","","株式会社アレア Fishman事業部","fish-man","https://www.fish-man.com/wp-content/uploads/logo.svg"
"YARIE","釣具メーカーヤリエ/YARIE Co..,Ltd. /YARIE NAVY/YARIE PANTHER/JESPA","https://www.etanba.co.jp/","","株式会社ヤリエ","etanba","https://www.etanba.co.jp/image/yarielogo2016.jpg"
"ノリーズ","NORIES | A Total Blance of The Highest Peak","https://nories.com/","","","nories","https://nories.com/wp/wp-content/themes/nories/images/common/logo.svg"
"シーウルフ","シーウルフ　seawolf JAPAN 国土交通省型式承認品　救命胴衣","https://www.seawolf.co.jp","","会社名 :    株式会社シーウルフ","seawolf",""
"株式会社BKK","BKK JAPAN","https://www.bkk-japan.com/","","","bkk-japan","https://www.bkk-japan.com/wp-content/uploads/2025/06/header_logo.png"
"船匠","船匠","https://senshou-psd.jp/","","","senshou-psd","https://senshou-psd.jp/wp-content/themes/%E8%88%B9%E5%8C%A0/assets/images/top/header_logo.png"
"Basic Gear","ベーシックギア","https://basicgear.jp/","","","basicgear","https://basicgear.jp/wp-content/themes/%E8%88%B9%E5%8C%A0/assets/images/top/menu-rogo.png"
"SEASON HOOKS","首頁：Season-Tackle","https://season-tackle.com/","","","season-tackle","https://season-tackle.com/static/img/ST_logo.svg"
"ZEQUE","Zeque (ゼクー) | 釣り・アウトドアの偏光サングラス","https://www.zeque.net/","","","zeque",""



"アングラーズ グループ","釣り具レジャー用品専門店 アングラーズ(ANGLERS)","https://www.anglers.co.jp/","","","anglers","https://www.anglers.co.jp/wp-content/themes/anglers/common/img/header-logo.png"
"イチバンエイトグループ","イチバンエイトグループ | 大阪・京都の大型釣具店","https://www.taikobo.net/","","","taikobo","https://www.taikobo.net/img/logo.png"
"SLASH／SQUID MANIA","釣り具用品の総合卸・小売販売｜株式会社 大藤つり具","https://ofuji.jp/","","釣り具用品の総合卸・小売販売｜株式会社 大藤つり具","ofuji","https://ofuji.jp/img/common/logo.png"
"株式会社マルシン漁具","釣具の卸売り | 世界の釣具マルシン漁具","http://www.mr-dragon.jp","","それが Dragon World Fishing Gear 株式会社マルシン漁具の願いです。","mr-dragon","https://www.mr-dragon.jp/cms/wp-content/themes/marushin/library/images/site_logo.png"
"UOYA","UOYA FISHING（釣具）| 釣具総合商社（株）魚矢","https://uoya-dw.com/","","","uoya-dw","data:image/gif;base64,R0lGODlhAQABAAAAACH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="

"東洋魚拓　拓正会","東洋魚拓　拓正会 | 東洋魚拓　拓正会はアート魚拓の創作活動を行っています。","https://www.takuseikai.com/","","","takuseikai",""
"大阪湾環境保全協議会","","https://www.osaka-wan.jp/","","","osaka-wan",""
"兵庫県資源管理協議会","","","","","",""
"第五管区海上保安本部","","https://www.kaiho.mlit.go.jp/05kanku/","","","kaiho",""
"全国釣竿公正取引協議会","全国釣竿公正取引協議会","https://www.jaftma.or.jp/koutori/","","","jaftma","https://www.jaftma.or.jp/koutori/images/0toptt.png"
"一般社団法人 日本釣用品工業会","一般社団法人 日本釣用品工業会","https://www.jaftma.or.jp/","","","jaftma","https://www.jaftma.or.jp/common/images/logo.svg"
"公益財団法人 日本釣振興会","公益財団法人 日本釣振興会 - 豊かな水辺環境を次世代へ “釣りの健全な振興を図る”ための事業活動を行なっております。","https://www.jsafishing.or.jp/","","","jsafishing","https://www.jsafishing.or.jp/wp-content/themes/jsafishing/images/logo.png"
"加東市","加東市観光協会","https://www.kato-kanko.jp/","","","kato-kanko","https://www.kato-kanko.jp/wp-content/themes/kato-kanko/imgsp/logo_head001.png"
"フィッシングパラダイスすくも","すくも観光ナビ – 高知県宿毛市、宿毛観光協会のウェブサイトです","http://sukumo-darumayuhi.jp","","","sukumo-darumayuhi","https://sukumo-darumayuhi.jp/wp-content/uploads/2019/02/favicon.jpg"
"若狭湾《若狭町・美浜町》","若狭の旅 〜海・湖・里まるごと体験〜 若狭三方五湖観光協会","https://www.wakasa-mikatagoko.jp/","","","wakasa-mikatagoko","https://www.wakasa-mikatagoko.jp/share/images/logo-jp.png"
"若狭湾《若狭町・美浜町》","若狭美浜観光協会 公式ホームぺージへようこそ！ - 若狭美浜観光協会","https://wakasa-mihama.jp/","","","wakasa-mihama","https://wakasa-mihama.jp/wp/wp-content/uploads/2019/10/sitelogo.png?1772801424"
"南あわじ市（淡路島）","南あわじ市ホームページ トップページ","https://www.city.minamiawaji.hyogo.jp","","","city","https://www.city.minamiawaji.hyogo.jp/img/nw-common/logo.png"
"（一社）幡多広域観光協議会","高知県 教育・団体旅行／はた旅 - SDGs体験プログラムもご案内中｜高知県「教育・団体旅行」観光ツアー情報サイト（一社）幡多広域観光協議会","https://koiki.hata-kochi.jp/","","","koiki","https://koiki.hata-kochi.jp/wp-content/themes/hatakoiki/assets/img/common/kochike-logo@2x.png"
"徳島県釣～リズム","徳島県観光情報サイト阿波ナビ","https://www.awanavi.jp/","","","awanavi","https://www.awanavi.jp/wp-content/themes/awanavi1.0.0/assets/images/common/area/area-img_east.jpg"
"南伊勢町観光協会・五ヶ所湾釣船会","南伊勢町観光協会","https://minami-ise.jp/","","","minami-ise",""
"大阪府泉佐野市","ホーム／泉佐野市","https://www.city.izumisano.lg.jp/","","関西国際空港(写真提供：関西エアポート株式会社)","city","https://www.city.izumisano.lg.jp/theme/base/img_common/pc_header_logo.png"
"大阪府泉佐野市","【公式】泉佐野市観光サイトここ旅泉佐野｜グルメ・お土産・宿泊","https://visitizumisanojpn.com/","","","visitizumisanojpn","https://visitizumisanojpn.com/wp-content/uploads/2024/11/kokotabi-izumisano-logo-pc-5.png?1772801430"
"釣りバカCitySUSAKI","釣りバカシティ須崎｜世界一釣り人に優しいまち｜高知・須崎","https://tsuribakacity-susaki.com/","","","tsuribakacity-susaki",""
"株式会社 魂商店","ホーム | Team立釣魂-大物釣り仲間","https://standing-soul.com/","","","standing-soul","https://standing-soul.com/img/logo.png"
"TEAMS紀北遊漁船グループ","【公式】和歌山ルアー船heyheyshipヘイヘイシップ","https://heyheyship.jp/","","","heyheyship","https://heyheyship.jp/assets/img/theme/logo.png"
"猪名川水系漁連・一庫ダム管理所","独立行政法人水資源機構　桂川・猪名川ダム総合管理所　一庫ダム管理所","https://www.water.go.jp/kansai/hitokura/","","","water","https://www.water.go.jp/kansai/hitokura/hitokura top_icon/logo.png"
"京都府内水面漁業協同組合連合会","京都府内水面漁業協同組合連合会","https://kyoto-naisuimen.jp/","","","kyoto-naisuimen",""
"三重県内水面漁業協同組合連合会","LOVE RIVER | 三重県内水面漁業協同組合連合会","https://www.mie-naisuimen.com/","","","mie-naisuimen","https://static.wixstatic.com/media/030e1a_7d1aa8eaf4d84076b5547c82380a7b90~mv2.png/v1/fill/w_326,h_50,al_c,q_85,usm_0.66_1.00_0.01,enc_avif,quality_auto/8_edited.png"

"船舶免許教習所アルファマリン","ALPHA MARINE│大阪で船舶免許を格安で取得するならアルファマリンへ！国家試験免除で合格までサポート！","https://alphamarine.co.jp/","","","alphamarine","https://alphamarine.co.jp/struct/wp-content/uploads/logo.png"
"分割式ボート『Kotobo』","恒徳化成工業株式会社 | 樹脂加工・成形の受注から金型設計・加工・保管・納品までトータル管理。","https://www.koutoku-kasei.co.jp/","","恒徳化成工業株式会社 | 樹脂加工・成形の受注から金型設計・加工・保管・納品までトータル管理。","koutoku-kasei",""
"本多電子（株）／HONDEX","HONDEX","https://www.hondex.co.jp","","多電子株式会社","hondex",""
"海技資格協力センター","Marine style（マリンスタイル） 海と船をもっと身近に安全に。 | 公益財団法人 海技資格協力センター","https://www.kousin-c.or.jp/","","","kousin-c",""
"マリンライセンスロイヤル大阪","船舶免許・ジェットスキー免許の取得はマリンライセンスロイヤル","http://www.marine-license.com","","","marine-license","http://www.marine-license.com/common/img/rmc_logo.jpg"
"小型船舶教習所連合会／試験機関","NBSA(National Boat School Association) | nbsa.or.jp","https://nbsa.or.jp/","","","nbsa","https://nbsa.or.jp/wp/wp-content/uploads/2015/09/cropped-IMG_20140209_110939.jpg"
"小型船舶教習所連合会／試験機関","小型船舶免許の取得、更新 – 小型船舶操縦士試験機関・講習機関","https://www.jmra.or.jp/","","","jmra","https://www.jmra.or.jp/jmra-cms/wp-content/themes/jmra/img/common/logo_01.png"
"（一財）日本船舶職員養成協会近畿","JEIS近畿 - ボート免許、船舶免許の取得・更新は国家試験免除のJEIS近畿へ","https://www.jeiskinki.or.jp/","","","jeiskinki","data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAhIAAAAeAQMAAABDrmWuAAAAA1BMVEUAAACnej3aAAAAAXRSTlMAQObYZgAAABZJREFUGBljGAWjYBSMglEwCkbBiAEAB/gAAV6puvQAAAAASUVORK5CYII="
"ヤンマー舶用システム株式会社","","https://www.yanmar.com/jp/marinepleasure/","","","yanmar",""
"ジョイクラフト","JOYCRAFT ジョイクラフト","https://www.joycraft.co.jp/","","","joycraft",""
"リトルボートのボートランド","亂儕僩儖儃乕僩斕攧亃戝嶃晎嶄巗偵偁傞儕僩儖儃乕僩斕攧偼僑儉儃乕僩丒儈僯儃乕僩愱栧偺僾儘僔儑僢僾偱怴昳斕攧偐傜拞屆昳攦偄庢傝傕偟偰偍傝傑偡丅","https://little-boat.net/","","","little-boat",""
"HONDA","船外機｜Honda公式サイト","https://www.honda.co.jp/marine","","","honda","https://www.honda.co.jp/marine/common/images/Honda-marine-logo.png"
"Lucky ET Manufacturer","Lucky fish finder -Manufacturer official website","https://www.luckyfishfinder.com/","","","luckyfishfinder","https://ilrorwxhmniilq5p.ldycdn.com/cloud/lkBpjKorloSRmjqokrmpjp/crop_1684543638032.png"
"東明工業株式会社","ARG - ボートの横揺れを低減するジャイロスタビライザー｜東明工業株式会社","https://antirollinggyro.com/jpn/","","ARG - ボートの横揺れを低減するジャイロスタビライザー｜東明工業株式会社","antirollinggyro","https://i0.wp.com/antirollinggyro.com/jpn/wp-content/uploads/sites/3/2025/10/ARG-logo-2_250px.png?fit=250%2C86&ssl=1"
